Date,Voucher Type,Voucher No,Particulars,Debit,Credit
01/07/2025,Sales,S-001,ABC Textiles - Invoice #1001,,85000
01/07/2025,Receipt,R-001,ABC Textiles - Payment Received,85000,
02/07/2025,Purchase,P-001,Mehta Fabrics - Raw Material,45000,
03/07/2025,Sales,S-002,Krishna Retail - Invoice #1002,,62000
04/07/2025,Expense,EXP-001,Office Rent - July,25000,
05/07/2025,Sales,S-003,Gupta Sarees - Invoice #1003,,95000
06/07/2025,Payment,PAY-001,Mehta Fabrics - Payment Made,,45000
07/07/2025,Receipt,R-002,Krishna Retail - Part Payment,30000,
08/07/2025,Purchase,P-002,Patel Threads - Supplies,28000,
09/07/2025,Sales,S-004,New Fashion Store - Invoice #1004,,42000
10/07/2025,Expense,EXP-002,Electricity Bill - July,8500,
11/07/2025,Sales,S-005,Royal Garments - Invoice #1005,,78000
12/07/2025,Receipt,R-003,Gupta Sarees - Full Payment,95000,
13/07/2025,Purchase,P-003,Sharma Dyes - Colors,18000,
14/07/2025,Sales,S-006,City Fashions - Invoice #1006,,55000
15/07/2025,Payment,PAY-002,Patel Threads - Payment,,28000
16/07/2025,Expense,EXP-003,Staff Salary - July,125000,
17/07/2025,Sales,S-007,Metro Textiles - Invoice #1007,,120000
18/07/2025,Receipt,R-004,New Fashion Store - Payment,42000,
19/07/2025,Purchase,P-004,Quality Fabrics - Silk,65000,
20/07/2025,Sales,S-008,Elegant Wear - Invoice #1008,,38000
21/07/2025,Expense,EXP-004,Internet & Phone,4500,
22/07/2025,Receipt,R-005,Royal Garments - Part Payment,40000,
23/07/2025,Sales,S-009,Fashion Hub - Invoice #1009,,92000
24/07/2025,Payment,PAY-003,Sharma Dyes - Payment,,18000
25/07/2025,Purchase,P-005,Mumbai Threads - Cotton,52000,
26/07/2025,Sales,S-010,Trendy Collections - Invoice #1010,,67000
27/07/2025,Receipt,R-006,City Fashions - Payment,55000,
28/07/2025,Expense,EXP-005,Vehicle Fuel,12000,
29/07/2025,Sales,S-011,Style Point - Invoice #1011,,48000
30/07/2025,Payment,PAY-004,Quality Fabrics - Part Payment,,35000
31/07/2025,Expense,EXP-006,GST Payment - July,45000,
01/08/2025,Sales,S-012,ABC Textiles - Invoice #1012,,75000
02/08/2025,Receipt,R-007,Metro Textiles - Full Payment,120000,
03/08/2025,Purchase,P-006,Mehta Fabrics - August Order,55000,
